tag,similarity,avg_popularity,score
hs basketball,0.7897788616833267,0.59944472705605,0.4919652256714535
basketball,0.7897788616833267,0.382255916051585,0.4854080518630302
basketball maestro drew timme,0.7897788616833267,2.42632001239721e-05,0.47386804954322187
al jazeera,0.09419795433980915,11.465542223402561,0.4026763523565596
dude perfect,0.6047352546160778,0.37658885049409246,0.3742107925571831
animal video,0.6015391999690074,0.2521689130387064,0.36853678230476594
video,0.6015391999690074,0.22225042652665544,0.36763350963967245
shared by video downloader  ace playerhttpsstdeepthoughtindustriesmiqnza,0.6015391999690074,2.117733783186752e-06,0.36092358391816265
how this device saves lives shortvideo help machine technology video ytshorts,0.5673306673294376,0.0010037377723783243,0.3404287043668271
penjelasan film,0.4837957088482745,0.017544005389232134,0.29080709850944436
