tag,similarity,avg_popularity,similarity_normalized,popularity_normalized_rec,score
hs basketball,0.9059104443286696,6407.983994511918,1.0,0.30622978557475466,0.7224919142299019
basketball,0.9059104443286696,855.8993624207817,1.0,0.04090239277316562,0.6163609571092662
basketball maestro drew timme,0.9059104443286696,0.02189004745674251,1.0,1.0460988268136342e-06,0.6000004184395307
chiropractic,0.0,20925.41057848093,0.0,1.0,0.4
asmr,0.0,10866.008843717354,0.0,0.5192733878728112,0.20770935514912447
al jazeera,0.0,7543.229721021039,0.0,0.3604818023871069,0.14419272095484278
nba celebrations,0.18078010724758098,533.4368858546875,0.19955626781800617,0.025492301995892884,0.12993068148916084
usa vs canada,0.19007647513511028,26.9182523209565,0.20981817388800236,0.0012863906406997067,0.1264054605890813
nba,0.18078010724758098,294.09864669517503,0.19955626781800617,0.014054617738187529,0.1253556077860787
espn fc,0.0,5910.693063821253,0.0,0.2824648549500689,0.11298594198002757
